,Class Index,True Pos,True Neg,False Pos,False Neg,Selectivity,Specivity,Balanced Accuracy
0,normal,10.0,178.0,10.0,12.0,0.45454545454545453,0.9468085106382979,0.7006769825918762
1,fire,18.0,188.0,1.0,3.0,0.8571428571428571,0.9947089947089947,0.9259259259259258
2,fighting,8.0,185.0,3.0,14.0,0.36363636363636365,0.9840425531914894,0.6738394584139265
3,water,23.0,180.0,4.0,3.0,0.8846153846153846,0.9782608695652174,0.9314381270903009
4,flying,30.0,157.0,9.0,14.0,0.6818181818181818,0.9457831325301205,0.8138006571741512
5,grass,24.0,181.0,0.0,5.0,0.8275862068965517,1.0,0.9137931034482758
6,poison,15.0,176.0,15.0,4.0,0.7894736842105263,0.9214659685863874,0.8554698263984568
7,electric,9.0,195.0,0.0,6.0,0.6,1.0,0.8
8,ground,17.0,181.0,8.0,4.0,0.8095238095238095,0.9576719576719577,0.8835978835978836
9,psychic,14.0,184.0,8.0,4.0,0.7777777777777778,0.9583333333333334,0.8680555555555556
10,rock,14.0,182.0,7.0,7.0,0.6666666666666666,0.9629629629629629,0.8148148148148148
11,ice,6.0,201.0,0.0,3.0,0.6666666666666666,1.0,0.8333333333333333
12,bug,18.0,175.0,3.0,14.0,0.5625,0.9831460674157303,0.7728230337078652
13,dragon,12.0,187.0,0.0,11.0,0.5217391304347826,1.0,0.7608695652173914
14,ghost,9.0,183.0,0.0,18.0,0.3333333333333333,1.0,0.6666666666666666
15,dark,16.0,185.0,0.0,9.0,0.64,1.0,0.8200000000000001
16,steel,24.0,177.0,6.0,3.0,0.8888888888888888,0.9672131147540983,0.9280510018214936
17,fairy,3.0,189.0,2.0,16.0,0.15789473684210525,0.9895287958115183,0.5737117663268118
18,overall,270.0,3284.0,76.0,150.0,0.6428571428571429,0.9773809523809524,0.8101190476190476
